ALLSKY_SFC_SW_DWN,RH2M,WS2M,T2M,PRECTOTCORR
0.0,78.02,0.87,14.31,0.04
0.0,81.13,0.88,13.67,0.14
0.0,84.76,0.88,13.06,0.25
0.0,89.16,0.9,12.43,0.27
0.03,92.01,0.96,12.22,0.16
0.29,80.22,1.54,14.83,0.56
0.68,77.0,1.07,16.15,62.09
1.0,76.04,1.79,17.56,72.37
1.41,75.67,1.7,18.3,33.09
1.42,72.1,1.82,18.99,5.14
0.54,67.37,1.75,19.63,5.51
0.29,61.73,1.53,20.62,6.08
0.49,59.82,1.48,20.62,5.87
0.29,64.79,1.08,19.7,6.44
0.08,76.09,0.55,18.23,12.32
0.0,80.06,0.59,17.18,50.3
0.0,86.86,0.54,16.43,45.24
0.0,88.47,0.51,15.84,16.66
0.0,88.56,0.62,15.24,3.57
0.0,90.85,0.78,14.32,1.1
0.0,93.46,0.76,13.75,0.19
0.0,95.23,0.72,13.41,0.1
0.0,97.88,0.86,12.89,0.11
0.0,100.0,1.09,12.16,0.14
0.0,100.0,1.23,11.69,0.13
0.0,100.0,1.13,11.23,0.11
0.0,100.0,0.99,11.09,0.13
0.0,100.0,0.88,11.04,0.19
0.03,99.41,0.77,11.31,0.07
0.19,92.72,0.99,13.23,0.02
0.44,78.33,0.63,15.94,5.24
0.67,57.58,0.53,19.14,2.2
0.77,46.9,1.03,20.96,0.75
0.8,42.37,1.37,21.91,0.36
0.85,39.7,1.67,22.48,0.33
0.57,38.09,1.92,22.62,0.3
0.43,37.7,1.98,22.27,0.22
0.25,39.45,1.8,21.26,0.05
0.06,54.81,0.92,18.12,0.02
0.0,57.71,1.1,15.63,0.01
0.0,59.35,1.12,14.61,0.0
0.0,60.89,1.15,13.69,0.0
0.0,62.58,1.18,12.78,0.01
0.0,64.17,1.23,12.0,0.0
0.0,65.69,1.35,11.29,0.0
0.0,67.07,1.5,10.67,0.06
0.0,68.36,1.65,10.1,0.01
0.0,69.38,1.82,9.56,0.1
0.0,70.22,1.87,8.97,0.01
0.0,70.73,1.77,8.29,0.02
0.0,70.02,1.67,7.69,0.0
0.0,68.38,1.63,7.19,0.0
0.03,63.8,1.86,7.45,0.0
0.35,51.66,2.9,9.99,0.0
0.89,44.26,2.4,13.01,0.0
1.46,35.04,2.11,17.82,0.0
1.81,31.51,1.78,20.56,0.0
2.25,29.99,1.86,21.45,0.0
2.02,28.81,2.27,21.95,0.0
1.66,28.6,2.67,22.02,0.0
1.26,28.53,2.95,21.56,0.0
0.75,30.93,2.86,20.35,0.0
0.21,44.57,1.54,16.66,0.0
0.0,49.25,1.64,13.79,0.0
0.0,49.26,1.79,12.88,0.0
0.0,49.78,1.82,11.94,0.0
0.0,50.4,1.87,11.04,0.0
0.0,51.4,1.96,10.19,0.0
0.0,53.04,2.07,9.38,0.0
0.0,55.26,2.17,8.62,0.0
0.0,57.72,2.22,7.94,0.0
0.0,59.97,2.18,7.34,0.0
0.0,62.53,1.97,6.69,0.0
0.0,65.28,1.72,5.95,0.0
0.0,67.89,1.61,5.27,0.0
0.0,70.55,1.6,4.65,0.0
0.05,69.58,2.08,4.86,0.0
0.57,60.97,2.99,6.97,0.0
1.27,52.03,2.42,10.08,0.0
1.93,35.61,2.96,15.48,0.0
2.39,29.42,3.21,18.24,0.0
2.56,27.26,3.32,19.44,0.0
2.49,25.45,3.43,20.19,0.0
2.18,24.33,3.42,20.46,0.0
1.63,24.33,3.4,20.14,0.0
0.94,26.76,3.0,19.05,0.0
0.3,42.69,1.38,15.07,0.0
0.0,48.76,1.37,12.02,0.0
0.0,50.41,1.39,11.13,0.0
0.0,51.99,1.48,10.38,0.0
0.0,52.93,1.72,9.86,0.0
0.0,53.82,2.06,9.54,0.0
0.0,55.35,2.34,9.16,0.0
0.0,57.68,2.31,8.43,0.0
0.0,59.51,2.16,7.55,0.0
0.0,59.57,2.33,6.95,0.0
0.0,59.74,2.57,6.47,0.0
0.0,62.25,2.34,5.67,0.0
0.0,66.0,1.96,4.79,0.0
0.0,69.49,1.79,4.06,0.0
0.06,68.15,2.22,4.31,0.0
0.67,58.34,3.1,6.64,0.0
1.43,49.17,2.71,9.98,0.0
